"Month.N","Date","datatype.x","avg_precip_mm","roll_7day","roll_10day","roll_14day","roll_21day","roll_30day","datatype.y","station","MinTemp_C","MinTemp_F","datatype","MaxTemp_C","MaxTemp_F"
"May",2018-05-11,"PRCP",0.3,2.46666666666667,2.96666666666667,18.7333333333333,48.7,81.6,"TMIN","GHCND:USW00014794",9.4,48.92,"TMAX",23.3,73.94
"June",2018-06-18,"PRCP",0,7.3,7.3,22.5666666666667,30.5333333333333,63.9333333333333,"TMIN","GHCND:USW00014794",16.7,62.06,"TMAX",26.7,80.06
"July",2018-07-24,"PRCP",0,27.5333333333333,27.5333333333333,32.4666666666667,39.4166666666667,45.8166666666667,"TMIN","GHCND:USW00014794",22.8,73.04,"TMAX",27.2,80.96
"August",2018-08-13,"PRCP",8.13333333333333,26.3666666666667,56.1666666666667,56.9666666666667,95.3166666666667,122.85,"TMIN","GHCND:USW00014794",21.7,71.06,"TMAX",25,77
"October",2018-10-09,"PRCP",0,46.2666666666667,46.4666666666667,141.783333333333,174.283333333333,215.65,"TMIN","GHCND:USW00014794",18.3,64.94,"TMAX",24.4,75.92
